DFF,DFR,Altitude,Draw_D,Drain_D,LS,Lineam_D,MRVBF,MRRTF,LULC,SCA,Prifile_C,Plan_C,TRI,SPI,Slope,TWI,TPI,litho_recl,geomorph_R,grid_code,well_M
0.41677,0.46669,136,2.01136,2.85971,0.6849,1.64829,0.56822,2.36476,2,70.29437,-0.00111,0,1,79.92464,0.04996,7.32387,0.72973,1,5,3.54,3
0.44294,0.48836,138,2.01216,2.85965,0.67085,1.65,0.10233,2.58252,3,11.71573,0.00111,0.04444,1.18322,50.80564,0.04996,7.34916,1.78378,1,5,3.54,3
0.46669,0.50912,139,2.01296,2.85957,0.28729,1.6517,0.08783,2.75669,3,11.71573,0.0025,0.0825,1.09545,21.2132,0.02357,8.02659,1.94595,1,5,3.54,3
0.38419,0.44598,132,2.01199,2.86265,0.71557,1.64419,1.81485,1.45013,2,113.15652,-0.00127,-0.01792,1.09545,298.58914,0.05266,7.43198,-1.32432,1,5,3.54,3
0.40804,0.46669,134,2.01277,2.86266,0.93278,1.64589,1.00464,0.0813,2,63.09508,0,0,1.41421,265.22565,0.0744,7.28339,-0.2973,1,5,3.54,3
0.43267,0.48836,136,2.01355,2.86273,0.64361,1.6476,0.8845,1.20285,5,17.57359,0.00111,0.02108,1.09545,70.65174,0.05266,7.33832,0.7027,1,5,3.54,3
0.45793,0.50912,137,2.01434,2.86266,0.44891,1.6493,0.69378,2.53105,3,29.11688,-0.00022,0.03578,0.7746,44.75949,0.03725,7.67683,0.75676,1,5,3.54,3
0.48374,0.53075,137,2.01513,2.86257,0.71449,1.651,1.19215,2.67218,3,35.14719,-0.00145,-0.03129,1.34164,124.58082,0.06002,7.5055,-0.24324,1,5,3.54,3
5.1371,4.21807,171,2.29055,1.58089,0.64012,0.79606,6.97218,3.98511,2,11.71573,-0.00116,0.0643,1.41421,61.11456,0.05266,7.05559,0.59459,1,4,3.39,3
5.13876,4.24794,173,2.29108,1.58008,0.69192,0.79726,6.9274,3.95333,2,11.71573,0.004,0.06258,2.04939,56.08983,0.06002,6.8892,2.89189,1,4,3.39,3
5.1406,4.27781,173,2.29163,1.57926,0.94293,0.79845,6.88055,3.90881,5,12.42641,0.00295,0.03093,2.04939,79.07314,0.08314,6.52187,3.16216,1,4,3.39,3
5.14262,4.30769,169,2.29217,1.57843,1.08388,0.79964,6.87882,3.88514,5,29.34295,-0.00371,-0.02006,2.04939,160.99371,0.08951,6.69853,-0.51351,1,4,3.39,3
